HorizontalPosition,VerticalPosition
2048,1650
2048,1660
2048,1670
2048,1680
2048,1690
2048,1700
2048,1710
2048,1720
2048,1730
2048,1740
2048,1750
2048,1760
2048,1770
2048,1780
2048,1790
2048,1800
2048,1810
2048,1820
2048,1830
2048,1840
2048,1850
2048,1860
2048,1860
2040,1860
2032,1860
2024,1860
2016,1860
2008,1860
2000,1860
1992,1860
1984,1860
1976,1860
1968,1860
1960,1860
1952,1860
1944,1860
1936,1860
1928,1860
1920,1860
1912,1860
1904,1860
1896,1860
1888,1860
1880,1860
1872,1860
1864,1860
1856,1860
1848,1860
1840,1860
1832,1860
1824,1860
1816,1860
1808,1860
1800,1860
1792,1860
1784,1860
1776,1860
1768,1860
1760,1860
1752,1860
1744,1860
1736,1860
1728,1860
1720,1860
1712,1860
1704,1860
1696,1860
1688,1860
1680,1860
1672,1860
1664,1860
1656,1860
1648,1860
1640,1860
1632,1860
1624,1860
1616,1860
1608,1860
1600,1860
1592,1860
1584,1860
1576,1860
1568,1860
1560,1860
1552,1860
1544,1860
1536,1860
1528,1860
1528,1860
1528,1850
1528,1840
1528,1830
1528,1820
1528,1810
1528,1800
1528,1790
1528,1780
1528,1770
1528,1760
1528,1750
1528,1740
1528,1730
1528,1720
1528,1710
1528,1700
1528,1690
1528,1680
1528,1670
1528,1660
1528,1650
1528,1640
1528,1630
1528,1620
1528,1610
1528,1600
1528,1590
1528,1580
1528,1570
1528,1560
1528,1550
1528,1540
1528,1530
1528,1520
1528,1510
1528,1500
1528,1490
1528,1480
1528,1470
1528,1460
1528,1450
1528,1440
1528,1430
1528,1420
1528,1410
1528,1400
1528,1390
1528,1390
1536,1390
1544,1390
1552,1390
1560,1390
1568,1390
1576,1390
1584,1390
1592,1390
1600,1390
1608,1390
1616,1390
1624,1390
1632,1390
1640,1390
1648,1390
1656,1390
1664,1390
1672,1390
1680,1390
1688,1390
1696,1390
1704,1390
1712,1390
1720,1390
1728,1390
1736,1390
1744,1390
1752,1390
1760,1390
1768,1390
1776,1390
1784,1390
1792,1390
1800,1390
1808,1390
1816,1390
1824,1390
1832,1390
1840,1390
1848,1390
1856,1390
1864,1390
1872,1390
1880,1390
1888,1390
1896,1390
1904,1390
1912,1390
1920,1390
1928,1390
1936,1390
1944,1390
1952,1390
1960,1390
1968,1390
1976,1390
1984,1390
1992,1390
2000,1390
2008,1390
2016,1390
2024,1390
2032,1390
2040,1390
2048,1390
2056,1390
2064,1390
2072,1390
2080,1390
2088,1390
2096,1390
2104,1390
2112,1390
2120,1390
2128,1390
2136,1390
2144,1390
2152,1390
2160,1390
2168,1390
2176,1390
2184,1390
2192,1390
2200,1390
2208,1390
2216,1390
2224,1390
2232,1390
2240,1390
2248,1390
2256,1390
2264,1390
2272,1390
2280,1390
2288,1390
2296,1390
2304,1390
2312,1390
2320,1390
2328,1390
2336,1390
2344,1390
2352,1390
2360,1390
2368,1390
2376,1390
2384,1390
2392,1390
2400,1390
2408,1390
2416,1390
2424,1390
2432,1390
2440,1390
2448,1390
2456,1390
2464,1390
2472,1390
2480,1390
2488,1390
2496,1390
2504,1390
2512,1390
2520,1390
2528,1390
2536,1390
2544,1390
2552,1390
2560,1390
2568,1390
2568,1390
2568,1400
2568,1410
2568,1420
2568,1430
2568,1440
2568,1450
2568,1460
2568,1470
2568,1480
2568,1490
2568,1500
2568,1510
2568,1520
2568,1530
2568,1540
2568,1550
2568,1560
2568,1570
2568,1580
2568,1590
2568,1600
2568,1610
2568,1620
2568,1630
2568,1640
2568,1650
2568,1660
2568,1670
2568,1680
2568,1690
2568,1700
2568,1710
2568,1720
2568,1730
2568,1740
2568,1750
2568,1760
2568,1770
2568,1780
2568,1790
2568,1800
2568,1810
2568,1820
2568,1830
2568,1840
2568,1850
2568,1860
2568,1860
2560,1860
2552,1860
2544,1860
2536,1860
2528,1860
2520,1860
2512,1860
2504,1860
2496,1860
2488,1860
2480,1860
2472,1860
2464,1860
2456,1860
2448,1860
2440,1860
2432,1860
2424,1860
2416,1860
2408,1860
2400,1860
2392,1860
2384,1860
2376,1860
2368,1860
2360,1860
2352,1860
2344,1860
2336,1860
2328,1860
2320,1860
2312,1860
2304,1860
2296,1860
2288,1860
2280,1860
2272,1860
2264,1860
2256,1860
2248,1860
2240,1860
2232,1860
2224,1860
2216,1860
2208,1860
2200,1860
2192,1860
2184,1860
2176,1860
2168,1860
2160,1860
2152,1860
2144,1860
2136,1860
2128,1860
2120,1860
2112,1860
2104,1860
2096,1860
2088,1860
2080,1860
2072,1860
2064,1860
2056,1860
2048,1860
2040,1860
2040,1860
2032,1860
2024,1860
2016,1860
2008,1860
2000,1860
1992,1860
1984,1860
1976,1860
1968,1860
1960,1860
1952,1860
1944,1860
1936,1860
1928,1860
1920,1860
1912,1860
1904,1860
1896,1860
1888,1860
1880,1860
1872,1860
1864,1860
1856,1860
1848,1860
1840,1860
1832,1860
1824,1860
1816,1860
1808,1860
1800,1860
1792,1860
1784,1860
1776,1860
1768,1860
1760,1860
1752,1860
1744,1860
1736,1860
1728,1860
1720,1860
1712,1860
1704,1860
1696,1860
1688,1860
1680,1860
1672,1860
1664,1860
1656,1860
1648,1860
1640,1860
1632,1860
1624,1860
1616,1860
1608,1860
1600,1860
1592,1860
1584,1860
1576,1860
1568,1860
1560,1860
1552,1860
1544,1860
1536,1860
1528,1860
1528,1860
1528,1850
1528,1840
1528,1830
1528,1820
1528,1810
1528,1800
1528,1790
1528,1780
1528,1770
1528,1760
1528,1750
1528,1740
1528,1730
1528,1720
1528,1710
1528,1700
1528,1690
1528,1680
1528,1670
1528,1660
1528,1650
1528,1640
1528,1630
1528,1620
1528,1610
1528,1600
1528,1590
1528,1580
1528,1570
1528,1560
1528,1550
1528,1540
1528,1530
1528,1520
1528,1510
1528,1500
1528,1490
1528,1480
1528,1470
1528,1460
1528,1450
1528,1440
1528,1430
1528,1420
1528,1410
1528,1400
1528,1390
1528,1390
1536,1390
1544,1390
1552,1390
1560,1390
1568,1390
1576,1390
1584,1390
1592,1390
1600,1390
1608,1390
1616,1390
1624,1390
1632,1390
1640,1390
1648,1390
1656,1390
1664,1390
1672,1390
1680,1390
1688,1390
1696,1390
1704,1390
1712,1390
1720,1390
1728,1390
1736,1390
1744,1390
1752,1390
1760,1390
1768,1390
1776,1390
1784,1390
1792,1390
1800,1390
1808,1390
1816,1390
1824,1390
1832,1390
1840,1390
1848,1390
1856,1390
1864,1390
1872,1390
1880,1390
1888,1390
1896,1390
1904,1390
1912,1390
1920,1390
1928,1390
1936,1390
1944,1390
1952,1390
1960,1390
1968,1390
1976,1390
1984,1390
1992,1390
2000,1390
2008,1390
2016,1390
2024,1390
2032,1390
2040,1390
2048,1390
2056,1390
2064,1390
2072,1390
2080,1390
2088,1390
2096,1390
2104,1390
2112,1390
2120,1390
2128,1390
2136,1390
2144,1390
2152,1390
2160,1390
2168,1390
2176,1390
2184,1390
2192,1390
2200,1390
2208,1390
2216,1390
2224,1390
2232,1390
2240,1390
2248,1390
2256,1390
2264,1390
2272,1390
2280,1390
2288,1390
2296,1390
2304,1390
2312,1390
2320,1390
2328,1390
2336,1390
2344,1390
2352,1390
2360,1390
2368,1390
2376,1390
2384,1390
2392,1390
2400,1390
2408,1390
2416,1390
2424,1390
2432,1390
2440,1390
2448,1390
2456,1390
2464,1390
2472,1390
2480,1390
2488,1390
2496,1390
2504,1390
2512,1390
2520,1390
2528,1390
2536,1390
2544,1390
2552,1390
2560,1390
2568,1390
2568,1390
2568,1400
2568,1410
2568,1420
2568,1430
2568,1440
2568,1450
2568,1460
2568,1470
2568,1480
2568,1490
2568,1500
2568,1510
2568,1520
2568,1530
